order[12]	Rhabditida[6236]	Caenorhabditis elegans[6239]
order[12]	Diptera[7147]	Drosophila melanogaster[7227]
order[12]	Anura[8342]	Xenopus (Silurana) tropicalis[8364]
order[12]	Primates[9443]	Pan troglodytes[9598],Homo sapiens[9606]
order[12]	Rodentia[9989]	Mus musculus[10090],Rattus norvegicus[10116]
order[12]	Schizosaccharomycetales[34346]	Schizosaccharomyces pombe[4896]
order[12]	Poales[38820]	Oryza sativa[4530]
class[8]	Liliopsida[4447]	Oryza sativa[4530]
class[8]	Saccharomycetes[4891]	Candida albicans[5476],Candida parapsilosis[5480],Candida tropicalis[5482],Candida dubliniensis[42374],Candida kruisii[45561],Kluyveromyces lactis[28985],Pichia stipitis[4924],Pichia guilliermondii[4929],Saccharomyces cerevisiae[4932],Zygosaccharomyces rouxii[4956],Debaryomyces hansenii[4959],Eremothecium gossypii[33169],Lodderomyces elongisporus[36914],Lachancea kluyveri[4934],Lachancea thermotolerans[381046],Candida glabrata[5478],Clavispora lusitaniae[36911],Yarrowia lipolytica[4952]
class[8]	Amphibia[8292]	Xenopus (Silurana) tropicalis[8364]
class[8]	Mammalia[40674]	Pan troglodytes[9598],Homo sapiens[9606],Mus musculus[10090],Rattus norvegicus[10116]
class[8]	Insecta[50557]	Drosophila melanogaster[7227]
class[8]	Chromadorea[119089]	Caenorhabditis elegans[6239]
class[8]	Eurotiomycetes[147545]	Aspergillus clavatus[5057],Aspergillus flavus[5059],Aspergillus niger[5061],Aspergillus oryzae[5062],Aspergillus fumigatus[5085],Aspergillus terreus[33178],Emericella nidulans[162425]
class[8]	Sordariomycetes[147550]	Neurospora crassa[5141]
class[8]	Schizosaccharomycetes[147554]	Schizosaccharomyces pombe[4896]
class[8]	Tremellomycetes[155616]	Filobasidiella neoformans[5207],Filobasidiella bacillispora[552467]
class[8]	Aconoidasida[422676]	Plasmodium falciparum[5833]
class[8]	Chytridiomycetes[451435]	Batrachochytrium dendrobatidis[109871]
phylum[5]	Chytridiomycota[4761]	Batrachochytrium dendrobatidis[109871]
phylum[5]	Ascomycota[4890]	Candida albicans[5476],Candida parapsilosis[5480],Candida tropicalis[5482],Candida dubliniensis[42374],Candida kruisii[45561],Kluyveromyces lactis[28985],Pichia stipitis[4924],Pichia guilliermondii[4929],Saccharomyces cerevisiae[4932],Zygosaccharomyces rouxii[4956],Debaryomyces hansenii[4959],Eremothecium gossypii[33169],Lodderomyces elongisporus[36914],Lachancea kluyveri[4934],Lachancea thermotolerans[381046],Candida glabrata[5478],Clavispora lusitaniae[36911],Yarrowia lipolytica[4952],Aspergillus clavatus[5057],Aspergillus flavus[5059],Aspergillus niger[5061],Aspergillus oryzae[5062],Aspergillus fumigatus[5085],Aspergillus terreus[33178],Emericella nidulans[162425],Neurospora crassa[5141],Schizosaccharomyces pombe[4896]
phylum[5]	Basidiomycota[5204]	Filobasidiella neoformans[5207],Filobasidiella bacillispora[552467]
phylum[5]	Apicomplexa[5794]	Plasmodium falciparum[5833]
phylum[5]	Microsporidia[6029]	Encephalitozoon cuniculi[6035]
phylum[5]	Nematoda[6231]	Caenorhabditis elegans[6239]
phylum[5]	Arthropoda[6656]	Drosophila melanogaster[7227]
phylum[5]	Chordata[7711]	Xenopus (Silurana) tropicalis[8364],Pan troglodytes[9598],Homo sapiens[9606],Mus musculus[10090],Rattus norvegicus[10116]
phylum[5]	Streptophyta[35493]	Arabidopsis thaliana[3702],Oryza sativa[4530]
kingdom[2]	Fungi[4751]	Batrachochytrium dendrobatidis[109871],Candida albicans[5476],Candida parapsilosis[5480],Candida tropicalis[5482],Candida dubliniensis[42374],Candida kruisii[45561],Kluyveromyces lactis[28985],Pichia stipitis[4924],Pichia guilliermondii[4929],Saccharomyces cerevisiae[4932],Zygosaccharomyces rouxii[4956],Debaryomyces hansenii[4959],Eremothecium gossypii[33169],Lodderomyces elongisporus[36914],Lachancea kluyveri[4934],Lachancea thermotolerans[381046],Candida glabrata[5478],Clavispora lusitaniae[36911],Yarrowia lipolytica[4952],Aspergillus clavatus[5057],Aspergillus flavus[5059],Aspergillus niger[5061],Aspergillus oryzae[5062],Aspergillus fumigatus[5085],Aspergillus terreus[33178],Emericella nidulans[162425],Neurospora crassa[5141],Schizosaccharomyces pombe[4896],Filobasidiella neoformans[5207],Filobasidiella bacillispora[552467],Encephalitozoon cuniculi[6035]
kingdom[2]	Viridiplantae[33090]	Arabidopsis thaliana[3702],Oryza sativa[4530]
kingdom[2]	Metazoa[33208]	Caenorhabditis elegans[6239],Drosophila melanogaster[7227],Xenopus (Silurana) tropicalis[8364],Pan troglodytes[9598],Homo sapiens[9606],Mus musculus[10090],Rattus norvegicus[10116]
superkingdom[1]	Eukaryota[2759]	Plasmodium falciparum[5833],Batrachochytrium dendrobatidis[109871],Candida albicans[5476],Candida parapsilosis[5480],Candida tropicalis[5482],Candida dubliniensis[42374],Candida kruisii[45561],Kluyveromyces lactis[28985],Pichia stipitis[4924],Pichia guilliermondii[4929],Saccharomyces cerevisiae[4932],Zygosaccharomyces rouxii[4956],Debaryomyces hansenii[4959],Eremothecium gossypii[33169],Lodderomyces elongisporus[36914],Lachancea kluyveri[4934],Lachancea thermotolerans[381046],Candida glabrata[5478],Clavispora lusitaniae[36911],Yarrowia lipolytica[4952],Aspergillus clavatus[5057],Aspergillus flavus[5059],Aspergillus niger[5061],Aspergillus oryzae[5062],Aspergillus fumigatus[5085],Aspergillus terreus[33178],Emericella nidulans[162425],Neurospora crassa[5141],Schizosaccharomyces pombe[4896],Filobasidiella neoformans[5207],Filobasidiella bacillispora[552467],Encephalitozoon cuniculi[6035],Arabidopsis thaliana[3702],Oryza sativa[4530],Caenorhabditis elegans[6239],Drosophila melanogaster[7227],Xenopus (Silurana) tropicalis[8364],Pan troglodytes[9598],Homo sapiens[9606],Mus musculus[10090],Rattus norvegicus[10116]
