21	3701	3702
21	4527	4530
21	4895	4896
21	4910	28985
21	4919	4924,4929
21	4930	4932
21	4951	4952
21	4953	4956
21	4958	4959
21	5052	5057,5059,5061,5062,5085,33178
21	5071	162425
21	5140	5141
21	5206	5207,552467
21	5475	5476,5480,5482,42374,45561
21	5820	5833
21	6033	6035
21	6237	6239
21	7215	7227
21	8353	8364
21	9596	9598
21	9605	9606
21	10088	10090
21	10114	10116
21	33170	33169
21	36910	36911
21	36913	36914
21	100474	109871
21	300275	4934,381046
21	333750	333754,333757,333766,333767,337039,337041,337042,337044,337049,337050
21	333922	337051
21	374468	5478
17	3700	3701
17	4479	4527
17	4893	4910,4919,4930,4953,4958,33170,36913,300275,374468
17	4894	4895
17	5148	5140
17	5215	5206
17	6243	6237
17	7214	7215
17	8352	8353
17	9604	9596,9605
17	10066	10088,10114
17	27319	36910
17	28568	5052,5071
17	34353	4951
17	36734	6033
17	151340	333750,333922
12	4810	100474
12	4892	5475
12	5819	5820
12	3699	3700
12	4892	5475,4893,27319,34353
12	5042	28568
12	5139	5148
12	5234	5215
12	6236	6243
12	7147	7214
12	8342	8352
12	9443	9604
12	9989	10066
12	34346	4894
12	38820	4479
8	4447	38820
8	4891	4892
8	8292	8342
8	40674	9443,9989
8	50557	7147
8	119089	6236
8	147545	5042
8	147550	5139
8	147554	34346
8	155616	5234
8	422676	5819
8	451435	4810
5	6029	36734
5	35493	3699
5	4761	451435
5	4890	4891,147545,147550,147554
5	5204	155616
5	5794	422676
5	6231	119089
5	6656	50557
5	7711	8292,40674
5	35493	3699,4447
2	4751	4761,4890,5204,6029
2	33090	35493
2	33208	6231,6656,7711
1	2759	5794
1	2759	5794,4751,33090,33208
