21	3701	3702
21	4527	4530
21	4895	4896
21	4910	28985
21	4919	4924,4929
21	4930	4932
21	4951	4952
21	4953	4956
21	4958	4959
21	5052	5057,5059,5061,5062,5085,33178
21	5071	162425
21	5140	5141
21	5206	5207,552467
21	5475	5476,5480,5482,42374,45561
21	5820	5833
21	6033	6035
21	6237	6239
21	7215	7227
21	8353	8364
21	9596	9598
21	9605	9606
21	10088	10090
21	10114	10116
21	33170	33169
21	36910	36911
21	36913	36914
21	100474	109871
21	300275	4934,381046
21	333750	333754,333757,333766,333767,337039,337041,337042,337044,337049,337050
21	333922	337051
21	374468	5478
17	3700	3702
17	4479	4530
17	4893	28985,4924,4929,4932,4956,4959,33169,36914,4934,381046,5478
17	4894	4896
17	5148	5141
17	5215	5207,552467
17	6243	6239
17	7214	7227
17	8352	8364
17	9604	9598,9606
17	10066	10090,10116
17	27319	36911
17	28568	5057,5059,5061,5062,5085,33178,162425
17	34353	4952
17	36734	6035
17	151340	333754,333757,333766,333767,337039,337041,337042,337044,337049,337050,337051
12	3699	3702
12	4810	109871
12	4892	5476,5480,5482,42374,45561,28985,4924,4929,4932,4956,4959,33169,36914,4934,381046,5478,36911,4952
12	5042	5057,5059,5061,5062,5085,33178,162425
12	5139	5141
12	5234	5207,552467
12	5819	5833
12	6236	6239
12	7147	7227
12	8342	8364
12	9443	9598,9606
12	9989	10090,10116
12	34346	4896
12	38820	4530
8	4447	4530
8	4891	5476,5480,5482,42374,45561,28985,4924,4929,4932,4956,4959,33169,36914,4934,381046,5478,36911,4952
8	8292	8364
8	40674	9598,9606,10090,10116
8	50557	7227
8	119089	6239
8	147545	5057,5059,5061,5062,5085,33178,162425
8	147550	5141
8	147554	4896
8	155616	5207,552467
8	422676	5833
8	451435	109871
5	4761	109871
5	4890	5476,5480,5482,42374,45561,28985,4924,4929,4932,4956,4959,33169,36914,4934,381046,5478,36911,4952,5057,5059,5061,5062,5085,33178,162425,5141,4896
5	5204	5207,552467
5	5794	5833
5	6029	6035
5	6231	6239
5	6656	7227
5	7711	8364,9598,9606,10090,10116
5	35493	3702,4530
2	4751	109871,5476,5480,5482,42374,45561,28985,4924,4929,4932,4956,4959,33169,36914,4934,381046,5478,36911,4952,5057,5059,5061,5062,5085,33178,162425,5141,4896,5207,552467,6035
2	33090	3702,4530
2	33208	6239,7227,8364,9598,9606,10090,10116
1	2759	5833,109871,5476,5480,5482,42374,45561,28985,4924,4929,4932,4956,4959,33169,36914,4934,381046,5478,36911,4952,5057,5059,5061,5062,5085,33178,162425,5141,4896,5207,552467,6035,3702,4530,6239,7227,8364,9598,9606,10090,10116
